0001 CURSOR with ORDER BY DESC                          dml001 NULL       01
0002 CURSOR with ORDER BY integer ASC                   dml001 NULL       01
0003 CURSOR with ORDER BY DESC integer, named column    dml001 NULL       01
0004 CURSOR with UNION: ORDER by integer DESC           dml001 NULL       01
0005 CURSOR with UNION ALL                              dml001 NULL       01
0006 Error for second consecutive OPEN without CLOSE    dml002 NULL       00
0007 Error for second consecutive CLOSE                 dml003 NULL       00
0008 SQLCODE = 100: FETCH on empty table                dml004 NULL       01
0009 FETCH NULL value, get indicator = -1               dml004 NULL       03
0010 FETCH truncated CHAR column with indicator         dml004 NULL       00
0011 FIPS sizing - DECIMAL(15)                          dml005 NULL       03
0012 SQLCODE < 0: DELETE CURRENT at end-of-data         dml006 NULL       00
0013 DELETE CURRENT row twice                           dml006 NULL       00
0014 UPDATE CURRENT                                     dml007 NULL       00
0015 UPDATE CURRENT - view with check and unique        dml007 NULL       00
0016 SQLCODE < 0: 2 rows selected by single-row SELECT  dml008 NULL       01
0017 SELECT DISTINCT                                    dml008 NULL       01
0018 SQLCODE = 100: SELECT with no data                 dml008 NULL       01
0019 SQLCODE = 0: SELECT with data                      dml008 NULL       01
0020 SELECT NULL value, get indicator = -1              dml008 NULL       02
0021 SELECT CHAR(M) col. into short var., get indic = M dml008 NULL       00
0022 INSERT (column list) VALUES (literals and NULL)    dml009 NULL       02
0023 SQLCODE < 0 if left-truncate DEC (>= col.def.)     dml009 NULL       05
0024 SQLCODE = 100: INSERT query spec. is empty         dml009 NULL       01
0025 SQLCODE = 0:  INSERT query spec. is not empty      dml009 NULL       02
0026 INSERT into view, check option + unique violations dml009 NULL       04
0027 INSERT short string into long column-space padding dml010 NULL       02
0028 INSERT string that exactly fits in column          dml010 NULL       02
0031 INSERT (column list) VALUES (variables and NULL)   dml010 NULL       02
0033 UPDATE view without WHERE clause - all rows        dml011 NULL       02
0034 UPDATE table with SET column in WHERE clause       dml011 NULL       02
0035 UPDATE with correlated subquery in WHERE clause    dml011 NULL       02
0036 UPDATE view globally with check option violation   dml011 NULL       03
0037 DELETE without WHERE clause - all rows             dml012 NULL       04
0038 DELETE with correlated subquery in WHERE clause    dml012 NULL       04
0039 COUNT DISTINCT function                            dml013 NULL       02
0040 SUM function with WHERE clause                     dml013 NULL       01
0041 MAX function in subquery                           dml013 NULL       01
0042 MIN function in subquery                           dml013 NULL       01
0043 AVG function                                       dml013 NULL       01
0044 AVG function: empty result NULL value              dml013 NULL       01
0045 BETWEEN predicate                                  dml014 NULL       02
0046 NOT BETWEEN predicate                              dml014 NULL       02
0047 IN predicate with subquery                         dml014 NULL       02
0048 NOT IN predicate with subquery                     dml014 NULL       02
0049 IN predicate with value list                       dml014 NULL       02
0050 LIKE predicate with % (percent)                    dml014 NULL       01
0051 LIKE predicate with _ (underscore)                 dml014 NULL       01
0052 LIKE predicate with ESCAPE character               dml014 NULL       02
0053 NOT LIKE predicate                                 dml014 NULL       03
0054 IS NULL predicate                                  dml014 NULL       02
0055 NOT NULL predicate                                 dml014 NULL       04
0056 NOT EXISTS predicate                               dml014 NULL       01
0057 ALL quantifier                                     dml014 NULL       01
0058 SOME quantifier                                    dml014 NULL       01
0059 ANY quantifier                                     dml014 NULL       01
0060 COMMIT WORK closes cursors                         dml015 NULL       00
0061 COMMIT WORK keeps changes to database              dml015 NULL       02
0062 ROLLBACK WORK cancels changes to database          dml015 NULL       03
0063 ROLLBACK WORK closes cursors                       dml015 NULL       00
0064 SELECT USER                                        dml016 NULL       01
0065 SELECT CHAR literal, term with numeric literal     dml016 NULL       02
0066 SELECT numeric literal                             dml016 NULL       03
